id,analysis_id,category,field_name,section,answer,confidence,created_at,updated_at
001b51e7-4ae0-4b6e-bdb1-6066f65a7c5c,8236b584-a756-44dd-8230-5d05f06dfb98,marketPosition,businessAge,recommended,"{""years"": [], ""indicators"": [""Copyright notice shows 2024, implying the business is not yet operational or very new""]}",0.4,2024-11-22 15:46:05.305312+00,2024-11-22 15:46:05.305312+00
0bfc4c66-05fe-462f-a227-d64918bf1655,8236b584-a756-44dd-8230-5d05f06dfb98,technicalSpecifics,terminology,verification,"{""type"": ""object"", ""items"": [{""key"": ""industry_terms"", ""value"": [""tradesmen"", ""decorators"", ""electrician"", ""plasterer"", ""plumber"", ""gas engineer""]}, {""key"": ""technical_terms"", ""value"": [""job management software"", ""scheduling"", ""estimates"", ""invoicing"", ""billing"", ""payments""]}]}",0.9,2024-11-22 15:46:01.86197+00,2024-11-22 15:46:01.86197+00
32d628b9-43af-4733-b021-199794c5c2dd,8236b584-a756-44dd-8230-5d05f06dfb98,coreBusiness,offerings,verification,"{""type"": ""object"", ""items"": [{""key"": ""products"", ""value"": [""All-in-One Job Management Software""]}, {""key"": ""services"", ""value"": []}]}",0.9,2024-11-22 15:46:01.86197+00,2024-12-04 19:18:04.199802+00
32f4b5bc-d33a-442f-8d3b-121bbfdd06fc,8236b584-a756-44dd-8230-5d05f06dfb98,technicalSpecifics,specifications,critical,"{""standards"": [], ""technical_specs"": []}",0.1,2024-11-22 15:46:04.01342+00,2024-11-22 15:46:04.01342+00
3c275ca7-451f-4f57-98d7-c81202ba1041,8236b584-a756-44dd-8230-5d05f06dfb98,marketPosition,credentials,critical,"{""awards"": [], ""experience"": [], ""certifications"": []}",0.1,2024-11-22 15:46:04.01342+00,2024-11-22 15:46:04.01342+00
3c29583c-e387-4a4d-a1e8-05d5c6a5409b,8236b584-a756-44dd-8230-5d05f06dfb98,coreBusiness,targetCustomer,verification,"{""type"": ""object"", ""items"": [{""key"": ""demographics"", ""value"": [""Tradesmen""]}, {""key"": ""psychographics"", ""value"": [""Seeking to streamline scheduling and job management"", ""Wanting to reduce no-shows and maximize productive hours"", ""Desiring seamless client interaction and communication""]}]}",0.8,2024-11-22 15:46:01.86197+00,2024-11-22 15:46:01.86197+00
440b14fa-d6fa-4e2e-a3e2-e55b95b6ee74,8236b584-a756-44dd-8230-5d05f06dfb98,technicalSpecifics,industryTrends,verification,"{""type"": ""object"", ""items"": [{""key"": ""current"", ""value"": [""all-in-one job management software"", ""customer communication"", ""buy now pay later""]}, {""key"": ""emerging"", ""value"": [""automated scheduling"", ""centralized communication"", ""payment solutions""]}]}",0.7,2024-11-22 15:46:01.86197+00,2024-11-22 15:46:01.86197+00
5bba6f17-7e11-42de-b06a-1a6949dbfa37,8236b584-a756-44dd-8230-5d05f06dfb98,customerJourney,buyingProcess,verification,"{""type"": ""object"", ""items"": [{""key"": ""stages"", ""value"": [""Awareness of scheduling and job management challenges"", ""Interest in Traydees as a potential solution"", ""Evaluation of features and pricing"", ""Trial signup"", ""Purchase decision""]}, {""key"": ""touchpoints"", ""value"": [""Website content highlighting pain points and benefits"", ""Feature descriptions"", ""Pricing page"", ""Free trial signup"", ""Purchase page""]}]}",0.8,2024-11-22 15:46:01.86197+00,2024-11-22 15:46:01.86197+00
795dd048-0848-44b3-b3c9-e8c1df4c6cb1,8236b584-a756-44dd-8230-5d05f06dfb98,technicalSpecifics,regulations,critical,"{""explicit"": [], ""implicit"": []}",0.1,2024-11-22 15:46:04.01342+00,2024-11-22 15:46:04.01342+00
8e7feef7-ef25-4c3d-b5d7-1af8d868568c,8236b584-a756-44dd-8230-5d05f06dfb98,technicalSpecifics,seasonality,critical,"{""patterns"": [], ""peak_periods"": []}",0.1,2024-11-22 15:46:04.01342+00,2024-11-22 15:46:04.01342+00
